url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Genre_1,decade
http://www.billboard.com/charts/hot-100/2012-07-21,7/21/2012,49,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock AnthemLMFAO Featuring Lauren Bennett & GoonRock,2,50,1,68,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2014-10-18,10/18/2014,50,Counting Stars,OneRepublic,Counting StarsOneRepublic,1,47,2,68,TeenPop,2010-2018
http://www.billboard.com/charts/hot-100/2014-10-18,10/18/2014,50,Counting Stars,OneRepublic,Counting StarsOneRepublic,1,47,2,68,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2012-04-14,4/14/2012,49,Rolling In The Deep,Adele,Rolling In The DeepAdele,2,43,1,65,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2013-08-24,8/24/2013,50,Ho Hey,The Lumineers,Ho HeyThe Lumineers,1,44,3,62,Alternative/Indie,2010-2018
http://www.billboard.com/charts/hot-100/2013-08-24,8/24/2013,50,Ho Hey,The Lumineers,Ho HeyThe Lumineers,1,44,3,62,Neo-Folk,2010-2018
http://www.billboard.com/charts/hot-100/2013-08-24,8/24/2013,50,Ho Hey,The Lumineers,Ho HeyThe Lumineers,1,44,3,62,Country,2010-2018
http://www.billboard.com/charts/hot-100/2014-07-05,7/5/2014,47,Demons,Imagine Dragons,DemonsImagine Dragons,3,45,6,61,Alternative/Indie,2010-2018
http://www.billboard.com/charts/hot-100/2010-10-16,10/16/2010,48,Need You Now,Lady Antebellum,Need You NowLady Antebellum,1,46,2,60,Country music,2010-2018
http://www.billboard.com/charts/hot-100/2010-10-16,10/16/2010,48,Need You Now,Lady Antebellum,Need You NowLady Antebellum,1,46,2,60,Country,2010-2018
http://www.billboard.com/charts/hot-100/2013-03-02,3/2/2013,36,Somebody That I Used To Know,Gotye Featuring Kimbra,Somebody That I Used To KnowGotye Featuring Kimbra,1,42,1,59,Alternative/Indie,2010-2018
